,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,7,469,Vitamin & Nutrisi,,0,,,False,610156145,0,False,1,Blackmores Bio Ace Excell 30 Kapsul BPOM Original Excel Multivitamin,,0,Rp 169.000,169000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,5,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-bio-ace-excell-30-kapsul-bpom-original-excel-multivitamin?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
1,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,256,2,469,Vitamin & Nutrisi,,0,,,False,588275454,0,False,1,BLACKMORES BIO ACE EXCELL EXCEL KALBE VITAMIN ANTIOKSIDAN - 30 KAPSUL,,0,Rp 250.000,250000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999721,,https://www.tokopedia.com/dailypromotion/blackmores-bio-ace-excell-excel-kalbe-vitamin-antioksidan-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,11,469,Vitamin & Nutrisi,,0,,,False,622978359,0,False,1,Blackmores Bio Ace Excell - Isi 30 Kapsul,,0,Rp 210.000,210000,,5,Jakarta Pusat,824445,True,True,True,Jakarta Pusat,mandjur,https://inbox.tokopedia.com/reputation/v1/badge/shop/824445,https://www.tokopedia.com/mandjur,suplemen056,1,2,,https://www.tokopedia.com/mandjur/blackmores-bio-ace-excell-isi-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,5,469,Vitamin & Nutrisi,,0,,,False,747554513,0,False,1,Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,,0,Rp 179.000,179000,,5,Kab. Sidoarjo,371179,True,False,True,Kab. Sidoarjo,UD. Jodi Akbar,https://inbox.tokopedia.com/reputation/v1/badge/shop/371179,https://www.tokopedia.com/ud-jodiakbar,,1,5,,https://www.tokopedia.com/ud-jodiakbar/blackmores-bio-ace-excell-bpom-kalbe-30-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
4,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,120,6,469,Vitamin & Nutrisi,,0,,,False,372011659,0,False,1,Blackmores Bio Ace Excell 30 Softgel,,0,Rp 180.000,180000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,20,,https://www.tokopedia.com/bandaneirastore/blackmores-bio-ace-excell-30-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,13,3,469,Vitamin & Nutrisi,,0,,,False,613010858,0,False,1,Blackmores Bio Ace Excell (30),,0,Rp 210.000,210000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G88,1,4,,https://www.tokopedia.com/blackmores/blackmores-bio-ace-excell-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
6,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,3,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,622977222,0,False,1,Blackmores Bio Ace Excell - Isi 30 Kapsul,,0,Rp 210.000,210000,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,suplemen056,1,2,,https://www.tokopedia.com/moermer/blackmores-bio-ace-excell-isi-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D7_catid%3D726&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
7,,kesehatan/lainnya,715,Kesehatan,,1,3,5,1129,Kesehatan Lainnya,,0,,,False,620349170,0,False,1,Blackmores Bio Ace Excell (30),,0,Rp 178.500,178500,,5,Bandung,7305430,True,False,True,Bandung,Mitrasana Bandung,https://inbox.tokopedia.com/reputation/v1/badge/shop/7305430,https://www.tokopedia.com/mitrasanabandung,BLCBX,1,10,,https://www.tokopedia.com/mitrasanabandung/blackmores-bio-ace-excell-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D8_catid%3D1129&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,2,469,Vitamin & Nutrisi,,0,,,False,369093067,0,False,1,blackmores bio ace excell 30 caps BPOM KALBE,,0,Rp 185.000,185000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,10,,https://www.tokopedia.com/hulksupplement/blackmores-bio-ace-excell-30-caps-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
9,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,10,469,Vitamin & Nutrisi,,0,,,False,486710651,0,False,1,Blackmores Bio Ace Excell Kalbe BPOM - 30 Softgel,,0,Rp 250.000,250000,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,100,,https://www.tokopedia.com/suplemenfactory/blackmores-bio-ace-excell-kalbe-bpom-30-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
10,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,8,469,Vitamin & Nutrisi,,0,,,False,775418301,0,False,1,blackmores bio ace excell isi 30,,0,Rp 164.500,164500,,5,Jakarta Barat,3267460,True,False,True,Jakarta Barat,Elektrindo Wijaya,https://inbox.tokopedia.com/reputation/v1/badge/shop/3267460,https://www.tokopedia.com/wijayaelektrindo,,1,9,,https://www.tokopedia.com/wijayaelektrindo/blackmores-bio-ace-excell-isi-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D11_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
11,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,2,8,2514,Vitamin K,,0,,,False,542697232,0,False,1,Blackmores Bio Ace Excell (30) BPOM KALBE,,0,Rp 178.500,178500,,5,Bekasi,6207106,True,False,True,Bekasi,Mitrasana Bekasi,https://inbox.tokopedia.com/reputation/v1/badge/shop/6207106,https://www.tokopedia.com/mitrasanabekasi,,1,1,,https://www.tokopedia.com/mitrasanabekasi/blackmores-bio-ace-excell-30-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D12_catid%3D2514&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
12,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,756551718,0,False,1,Blackmores Bio Ace Excell / Vitamin C & E (isi 30),,0,Rp 185.000,185000,,0,Bandung,2804553,True,False,True,Bandung,toptotoe,https://inbox.tokopedia.com/reputation/v1/badge/shop/2804553,https://www.tokopedia.com/toptotoeshopv,,1,1,,https://www.tokopedia.com/toptotoeshopv/blackmores-bio-ace-excell-vitamin-c-e-isi-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D13_catid%3D726&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
13,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,7,469,Vitamin & Nutrisi,,0,,,False,801743350,0,False,1,Blackmores Bio ACE EXCELL 30 kapsul,,0,Rp 178.500,178500,,0,Makassar,8264205,True,False,True,Makassar,APOTIK MAKASSAR JAYA LESTARI,https://inbox.tokopedia.com/reputation/v1/badge/shop/8264205,https://www.tokopedia.com/mksjayalestari,,1,7,,https://www.tokopedia.com/mksjayalestari/blackmores-bio-ace-excell-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D14_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
14,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,2,469,Vitamin & Nutrisi,,0,,,False,751679461,0,False,1,Blackmores Bio Ace Excell 30 K/vitamin A/Vitamin C /Vitamin D,,0,Rp 250.000,250000,,5,Jakarta Barat,7503853,True,False,True,Jakarta Barat,candra healthy store,https://inbox.tokopedia.com/reputation/v1/badge/shop/7503853,https://www.tokopedia.com/candrahealthysto,,1,9,,https://www.tokopedia.com/candrahealthysto/blackmores-bio-ace-excell-30-k-vitamin-a-vitamin-c-vitamin-d?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D15_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
15,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,3,469,Vitamin & Nutrisi,,0,,,False,827177464,0,False,1,Blackmores Bio Ace Excell (30 Kapsul),,0,Rp 176.000,176000,,0,Pekanbaru,8443779,True,False,True,Pekanbaru,Pehaps Consumer Health,https://inbox.tokopedia.com/reputation/v1/badge/shop/8443779,https://www.tokopedia.com/pehaps-company,,1,10,,https://www.tokopedia.com/pehaps-company/blackmores-bio-ace-excell-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+BIO+ACE+EXCELL+%2830%29_po%3D16_catid%3D469&whid=0,0,2020-06-04,BLACKMORES BIO ACE EXCELL (30)
